DrugName,Manufacturer,NAFDAC_Number,Barcode,BatchNumber,ExpiryDate,DosageForm,Strength,PackageSize,Country,Label,Label_Encoded
cotrimoxazole,tuyil pharmaceutical industries,c9-1878,6192294131868,b26-3797,2029-08-15,injection,1g,60ml bottle,nigeria,Genuine,0
omeprazole,swiss pharma nigeria ltd,t5-9850,6192923616186,b24-8612,2026-10-01,injection,5mg,5 vials,nigeria,Genuine,0
ibuprofen,neimeth international pharmaceuticals,p6-2364,6198518626714,bt25-9146,2028-02-01,capsule,200mg,30 tablets,nigeria,Genuine,0
metronidazol,quickcure labs,-6310,9999999999999,unknown,unknown,tablet,20mg,10 capsules,china,Suspicious,1
vitamin b complex,pfizer nigeria,f6-2468,6197647501114,bn25-8451,2027-01-19,sachet,1g,100ml bottle,nigeria,Genuine,0
panado,biofix pharmaceuticals,d9q,6196991548271,idl,unknown,suspension,20mg,bulk,india,Suspicious,1
instant relief caps,topnotch drugs ltd,-1430,6197119475059,17,2020-02-05,drops,400mg,10 capsules,ghana,Suspicious,1
multivitamin,hovid nigeria ltd,f6-2244,6193119642583,lot25-2279,2029-02-28,injection,1g,1 vial,nigeria,Genuine,0
magic cure pill,curefast pharmaceuticals,xorjgr,0000000000000,twyg,unknown,drops,200mg,30 tablets,india,Suspicious,1
spironolactone,nigerian german chemicals plc,r6-6767,6193694551584,b26-6525,2027-07-16,drops,400mg,100ml bottle,nigeria,Genuine,0
instant relief caps,drugking industries,none,14096170998731709,yxvful,UNKNOWN,ointment,200mg,20 capsules,pakistan,Suspicious,1
panadol,wonderdrug co,r0-8608,0104194534195281447,---,24/11/2025,powder,100mg,100ml bottle,nigeria,Suspicious,1
prednisolone,curefast pharmaceuticals,f8-6687,09185805581157449,??,2020-07-02,drops,500mg,20 tablets,india,Suspicious,1
vitamin c,alphahealth industries,none,2036686427786268,batch-114,01/12/2025,syrup,unknown,100ml bottle,india,Suspicious,1
furosemide,alphahealth industries,c5-8036,2222222222222,batch-755,UNKNOWN,syrpu,10mg,20 capsules,nigeria,Suspicious,1
lonart ds extra,sunrise medications,ez-wtmf,6194913943036,47,2021-08-09,sachet,400mg,100ml bottle,pakistan,Suspicious,1
doxyccyline,drugfield pharmaceuticals ltd,m9-6588,8985664301,??,UNKNOWN,ointment,???,1 pack,ghana,Suspicious,1
unknown,topnotch drugs ltd,gegbut,6192758881186,batch-614,2022-02-13,cream,10mg,30g tube,nigeria,Suspicious,1
diazepam,drugfield pharmaceuticals ltd,m4-1070,6198303736062,bn24-4583,2029-01-17,injection,500mg/5ml,1 vial,nigeria,Genuine,0
ciprofloxacn,curefast pharmaceuticals,none,6195239188675,unknown,2023-04-11,suspension,500mg,30g tube,ghana,Suspicious,1
artemether lumefantrine,evans medical plc,i2-1509,6196788317127,bn24-1110,2027-03-07,ointment,10mg,5 vials,nigeria,Genuine,0
ceftriaxone,may & baker nigeria plc,s2-4270,6190071695008,l25-1519,2028-09-23,cream,250mg/5ml,10 capsules,nigeria,Genuine,0
super paracetamol,pharmafast nigeria,h7-1927,2smbpiy9krexa,batch-350,unknown,drops,100mg,1 tube,pakistan,Suspicious,1
doxycycline,hovid nigeria ltd,x1-2681,6198723335104,lot24-9725,2029-02-09,sachet,50mg,100 tablets,nigeria,Genuine,0
vitamin cc,bestpills international,-2199,3186679066747720,ida,2022-04-24,drops,10mg,30g tube,nigeria,Suspicious,1
vitamin b complex,fidson healthcare plc,k4-8433,6191553132592,bt25-7896,2026-04-26,ointment,50mg,20 capsules,nigeria,Genuine,0
vitamin c,dana pharmaceuticals ltd,l9-9404,6199897211706,b26-9728,2028-11-17,tablet,250mg,200ml bottle,nigeria,Genuine,0
nifedipine,swiss pharma nigeria ltd,w0-3684,6197588425241,bn24-5588,2029-05-17,capsule,400mg,1 tube,nigeria,Genuine,0
ciprofloxacn,quickcure labs,zwadnjf,1111111111111,jnn,06/10/2025,ointment,5mg,10 capsules,unknown,Suspicious,1
prednisolone,healwell pharma ltd,p-49,2850725532052851550,rnep,???,cream,200mg,60ml bottle,pakistan,Suspicious,1
spironolactone,hovid nigeria ltd,t1-8674,unknown,lot24-1810,2026-06-20,cream,500mg,100 tablets,nigeria,Genuine,0
super paracetamol,megadrug industries,j2-4277,huccoyw63uaqw,batch-198,26/02/2026,ceram,unknown,10 tablets,nigeria,Suspicious,1
multivitamin,medline drugs ltd,a7-5774,jgumdjulesili,bdkwg,04/07/2026,drops,20mg,30 tablets,china,Suspicious,1
erythromycin,pharmaplus international,-9014,5555555555555,3,UNKNOWN,drosp,50mg,1 tube,ghana,Suspicious,1
diclofenac,may & baker nigeria plc,d6-6411,6197120826772,bt25-5362,2028-11-02,capsule,125mg/5ml,1 vial,nigeria,Genuine,0
megavit plus,dana pharmaceuticals ltd,k-84,370089,batch-129,2021-12-15,talbet,20mg,100ml bottle,china,Suspicious,1
ciprofloxacn,pharmafast nigeria,m4-6657,6193309074064,43,2023-09-11,syrup,unknown,30g tube,ghana,Suspicious,1
loperamide,juhel nigeria ltd,k1-2335,6196682973276,bn24-2079,2029-05-25,powder,250mg/5ml,100ml bottle,nigeria,Genuine,0
multivitamin,medexpress ltd,be-mowi,tfs8um5vuengd,batch-808,2023-11-17,ointment,5mg,1 pack,nigeria,Suspicious,1
unknown,sunrise medications,d6j,2222222222222,63,2021-07-23,cream,unknown,30 tablets,unknown,Suspicious,1
diclofenac,nigerian german chemicals plc,z8-6992,6191604817546,b25-6186,2026-11-08,drops,500mg,1 vial,nigeria,Genuine,0
flagyl,hovid nigeria ltd,k6-2083,6194630316175,b26-1001,2028-11-24,syrup,250mg,10 tablets,nigeria,Genuine,0
vitamin c,pfizer nigeria,v9-7711,6196365807416,bt26-0506,2028-09-21,capsule,125mg/5ml,200ml bottle,nigeria,Genuine,0
panado,bestpills international,f-97,5555555555555,unknown,09/05/2026,ointmnet,20mg,10 tablets,nigeria,Suspicious,1
folic acid,hovid nigeria ltd,b0-5117,6193973598934,bt25-7453,2027-11-03,syrup,100mg,1 tube,nigeria,Genuine,0
paracetmol,hovid nigeria ltd,c6kh1x,qomu94v2abqqy,fkd,2021-07-28,syrpu,10mg,1 vial,pakistan,Suspicious,1
amoxicillin,topnotch drugs ltd,unknown,6190049332676,33,13/10/2025,capsule,10mg,200ml bottle,unknown,Suspicious,1
megavit plus,pfiezr nigeria,fn-whew,9999999999999,??,UNKNOWN,cream,100mg,20 tablets,pakistan,Suspicious,1
cotrimoxazole,mopson pharmaceutical ltd,o8-8397,6191331509837,b24-0217,2026-12-21,tablet,200mg,20 tablets,nigeria,Genuine,0
diclofenac,evans medical plc,w4-2195,6194916999399,bt26-4334,2028-10-15,injection,200mg,1 vial,nigeria,Genuine,0
power drug,biofix pharmaceuticals,s8-1693,6197338079267,unknown,UNKNOWN,tabelt,unknown,1 tube,nigeria,Suspicious,1
lisinopril,juhel nigeria ltd,l9-4650,6199652138354,bn25-1440,2027-05-11,cream,200mg,20 tablets,nigeria,Genuine,0
vitamin b complex,sanofi nigeria,c6-1636,6191692364588,l26-6132,2026-11-13,ointment,250mg/5ml,100 tablets,nigeria,Genuine,0
artemether lumefantrine,neimeth international pharmaceuticals,d3-8113,6195024916308,bn26-7886,2027-06-25,capsule,200mg,30 tablets,nigeria,Genuine,0
artemether lumefantrine,pharmafast nigeria,afyhonito,hivzcp1art6os,unknown,2023-04-02,suspension,5mg,unknown,ghana,Suspicious,1
erythromycin,nigerian german chemicals plc,d2-3960,6190190725877,bt24-3607,2026-05-19,suspension,20mg,60ml bottle,nigeria,Genuine,0
gentamicin,bioraj pharmaceuticals ltd,unknown,hee5qdg6lvmuj,batch-943,2023-05-14,inejction,50mg,100 tablets,unknown,Suspicious,1
ceftriaxone,hovid nigeria ltd,o4-5893,6192275854854,b25-6059,2028-12-27,sachet,400mg,30 tablets,nigeria,Genuine,0
lonart ds extra,wonderdrug co,jj-rbef,0000000000000,batch-719,unknown,syrup,???,10 tablets,nigeria,Suspicious,1
panadol,medline drugs ltd,q-11,6193865626004,ebtsn,unknown,tablet,500mg,5 vials,china,Suspicious,1
furosemide,mopson pharmaceutical ltd,t5-8906,6196403816646,b25-9816,2026-03-17,syrup,400mg,1 vial,nigeria,Genuine,0
chlorpheniramine,bioraj pharmaceuticals ltd,y5-3821,6194013223427,bt24-1387,2029-12-25,capsule,250mg,10 tablets,nigeria,Genuine,0
power drug,curefast pharmaceuticals,pending,6195975980960,65,2020-10-13,tablet,???,bulk,ghana,Suspicious,1
amoxicillin,bioraj pharmaceuticals ltd,e4-1107,6194335048883,b26-2634,2026-01-15,cream,100mg,30 tablets,nigeria,Genuine,0
tramadol,novadrug industries,o-30,6193734483653,---,2023-11-04,sachet,500mg/5ml,5 vials,unknown,Suspicious,1
ceftriaxone,goodhealth generics,p1-372808,0148333540112728,50,2021-01-17,drops,1g,1 pack,unknown,Suspicious,1
antacid,nigerian german chemicals plc,-3042,656477,rdt,unknown,powder,250mg,200ml bottle,nigeria,Suspicious,1
ciprofloxacin,emzor pharmaceutical industries,i3-1652,6190684866611,b26-2601,2028-02-10,capsule,5mg,100 tablets,nigeria,Genuine,0
coartem,may & baker nigeria plc,c1-9292,6194582603408,b25-8850,2029-03-19,drops,250mg/5ml,20 capsules,nigeria,Genuine,0
augmentin,chi pharmaceuticals ltd,m4-1054,6198572169660,l24-0575,2027-03-20,sachet,5mg,20 tablets,nigeria,Genuine,0
megavit plus,mopson pharmaceutical ltd,q3-8143,9999999999999,31,UNKNOWN,tablet,20mg,60ml bottle,unknown,Suspicious,1
ciprofloxacn,medexpress ltd,y7rw78,0000000000000,38,UNKNOWN,capsule,unknown,30g tube,china,Suspicious,1
amoxil,tuyil pharmaceutical industries,a3-8056,6195313614878,b24-4446,2028-06-13,sachet,20mg,10 capsules,nigeria,Genuine,0
loperamide,fastrelief drugs,fstt88,0000000000000,bcqfp,unknown,capsule,unknown,bulk,unknown,Suspicious,1
gentamicin,drugfield pharmaceuticals ltd,f0-6091,6195657758092,l25-5325,2027-04-26,powder,500mg/5ml,1 vial,nigeria,Genuine,0
amoxicillin,pfizer nigeria,g1-1834,6196684335676,bn26-7097,2026-05-04,injection,10mg,10 capsules,nigeria,Genuine,0
paracetmol,novadrug industries,rk9cdfdw,6191759896229,batch-664,21/02/2026,sahcet,10mg,1 tube,nigeria,Suspicious,1
magic cure pill,sunrise medications,t-30,6666666666666,6,2021-11-06,tablet,200mg,200ml bottle,ghana,Suspicious,1
lisinopril,skg pharma ltd,a0-6629,6191627136112,bn25-6122,2028-03-13,syrup,125mg/5ml,5 vials,nigeria,Genuine,0
power drug,bestpills international,v0-565243,6199629010799,91,2021-07-12,syrup,10mg,1 tube,india,Suspicious,1
promethazine,megadrug industries,s1-224675,6196755004371,batch-618,27/08/2026,syrup,125mg/5ml,20 tablets,ghana,Suspicious,1
amoxil,fidson healthcare plc,b6-8883,6199497567920,bt26-7651,2029-11-15,syrup,250mg/5ml,20 capsules,nigeria,Genuine,0
amatem,emzor pharmaceutical industries,b1-8954,6198822473127,l24-6481,2028-01-16,capsule,500mg,30g tube,nigeria,Genuine,0
megavit plus,emzor pharmaceutical industries,q6-2295,6198044306579,unknown,2020-03-15,capsule,200mg,10 tablets,pakistan,Suspicious,1
diazepam,evans medical plc,s3-2441,6197359848842,bn24-1214,2028-06-25,drops,250mg/5ml,100 tablets,nigeria,Genuine,0
coartem,megadrug industries,4ayuf1,pxjdq64y0dm5e,batch-654,21/04/2026,crema,unknown,30 tablets,pakistan,Suspicious,1
vitamin c,glaxosmithkline nigeria,c5-4082,6191952569043,bn26-8875,2027-07-14,cream,500mg/5ml,20 capsules,nigeria,Genuine,0
amoxicilin,curefast pharmaceuticals,x51-349,6194941971575,batch-398,14/04/2025,powder,unknown,100ml bottle,nigeria,Suspicious,1
diclofenac,evans medical plc,n5-7089,6194947170996,b24-7836,2027-09-04,ointment,5mg,10 capsules,nigeria,Genuine,0
panado,emzor pharmaceutical industries,-6552,6192741168065,fusiyuab,2020-04-20,capsule,250mg,20 capsules,unknown,Suspicious,1
megavit plus,bestpills international,ot-xjge,4444444444444,unknown,08/03/2026,tablet,50mg,20 capsules,pakistan,Suspicious,1
nifedipine,tuyil pharmaceutical industries,a5-7820,6192271043313,b25-5523,2026-01-20,drops,1g,30 tablets,nigeria,Genuine,0
metformin,fidson healthcare plc,m8-5558,6195775901752,bn26-6616,2027-07-27,suspension,50mg,10 capsules,nigeria,Genuine,0
unknown,emzor pharmaceutical industries,z8-2766,6197214364388,bn24-0485,2026-01-10,capsule,200mg,30 tablets,nigeria,Genuine,0
diazepam,megadrug industries,h4-841457,0707750,batch-566,07/06/2026,ointment,unknown,unknown,china,Suspicious,1
spironolactone,fidson healthcare plc,p4-7195,6199029831048,bt26-8967,2028-02-20,ointment,20mg,30 tablets,nigeria,Genuine,0
ciprofloxacin,drugfield pharmaceuticals ltd,u5-1202,6198993588910,l26-4172,2029-06-22,ointment,100mg,200ml bottle,nigeria,Genuine,0
amoxicilin,healthmax pharma,cu-rksm,0000000000000,1,unknown,tablet,20mg,100 tablets,nigeria,Suspicious,1
diazepam,pfizer nigeria,w7-3360,unknown,bt25-8542,2027-06-10,suspension,250mg,200ml bottle,nigeria,Genuine,0
ampiclox,skg pharma ltd,s3-8449,6191452111759,bn26-6392,2027-07-18,ointment,500mg,30g tube,nigeria,Genuine,0
artemether lumefantrine,glaxosmithkline nigeria,m0-2410,6196629979545,lot24-8840,2026-08-19,syrup,250mg,30g tube,nigeria,Genuine,0
tramadol,curefast pharmaceuticals,a6cv41,0000000000000,20,2020-02-07,drops,500mg,30 tablets,pakistan,Suspicious,1
azithromycin,swiss pharma nigeria ltd,w8-9669,6191377028514,b25-1907,2026-06-19,injection,500mg,200ml bottle,nigeria,Genuine,0
chloroquine,dana pharmaceuticals ltd,j1-1519,6191666870022,bn25-7209,2028-10-28,capsule,5mg,10 tablets,nigeria,Genuine,0
omeprazole,healwell pharma ltd,um-jmev,8967808,50,UNKNOWN,sachet,400mg,100 tablets,india,Suspicious,1
lisinopril,sanofi nigeria,d7-8493,6199827080860,b25-8428,2027-12-19,syrup,250mg/5ml,30 tablets,nigeria,Genuine,0
instant relief caps,goodhealth generics,wb-haeb,6193608164183,npvcc,2023-02-09,tablet,50mg,200ml bottle,unknown,Suspicious,1
ciprofloxacin,may & baker nigeria plc,i0-3005,6196481880447,bt26-7860,2029-04-17,suspension,20mg,1 tube,nigeria,Genuine,0
chloroquine,evans medical plc,o2-3150,6198200557784,lot26-7388,2027-12-18,syrup,1g,1 vial,nigeria,Genuine,0
total cure tablets,supercure pharma,dh-kgsc,9999999999999,8,???,ceram,1g,bulk,china,Suspicious,1
megavit plus,topnotch drugs ltd,ljfedt,9747676660919193526,batch-156,2020-08-14,sachet,500mg,1 tube,unknown,Suspicious,1
tetracycline,glaxosmithkline nigeria,b-73,0000000000000,14,unknown,cream,1g,100 tablets,china,Suspicious,1
raniitdine,medline drugs ltd,-4345,6196816723869,??,???,tablet,???,bulk,india,Suspicious,1
tramadol,dana pharmaceuticals ltd,qk-ferg,40950,unknown,21/02/2026,suspension,250mg,1 vial,unknown,Suspicious,1
ranitidine,pharmafast nigeria,r7-3169,0000000000000,batch-179,2022-01-11,sachet,10mg,100ml bottle,india,Suspicious,1
super paracetamol,bestpills international,i7-311503,0000000000000,unknown,25/10/2025,sachet,unknown,30 tablets,pakistan,Suspicious,1
magic cure pill,quickcure labs,w1-8934,6193891918746,qbmki,2022-05-19,cream,500mg,bulk,nigeria,Suspicious,1
cotrimoxazole,pfizer nigeria,x7-5961,6199956412204,bt24-0360,2027-01-07,drops,125mg/5ml,30 tablets,nigeria,Genuine,0
hydrocortisone,drugking industries,cz-obcf,6666666666666,yjfrffsf,unknown,drops,400mg,60ml bottle,nigeria,Suspicious,1
amoxicillin,hovid nigeria ltd,z2-7655,6199582641863,b25-5747,2029-11-03,suspension,500mg,200ml bottle,nigeria,Genuine,0
power drug,healthmax pharma,p-41,s25ylk7tqkwqp,batch-894,2020-06-04,injection,500mg/5ml,30 tablets,pakistan,Suspicious,1
metformin,fidson healthcare plc,x1-1305,6198099693082,lot26-8942,2029-11-25,syrup,10mg,60ml bottle,nigeria,Genuine,0
chlorpheniramine,sanofi nigeria,x6-1374,6195932971505,b26-6478,2027-03-15,cream,250mg/5ml,100 tablets,nigeria,Genuine,0
ceftriaxone,sanofi nigeria,i0-3615,6196542351169,bn25-5735,2028-01-24,drops,5mg,20 tablets,nigeria,Genuine,0
erythromycin,dana pharmaceuticals ltd,h7-6671,6192431069030,bt24-1753,2026-08-20,tablet,200mg,1 tube,nigeria,Genuine,0
erythromycin,skg pharma ltd,d8-2072,6195352373606,lot24-7971,2026-09-03,cream,5mg,1 vial,nigeria,Genuine,0
tetracycline,may & baker nigeria plc,or-dvwr,6195254110552,unknown,UNKNOWN,capsule,unknown,1 pack,unknown,Suspicious,1
lisinopril,hovid nigeria ltd,e4-2505,6199962642220,b25-5576,2026-08-02,injection,250mg/5ml,1 tube,nigeria,Genuine,0
amoxicillin,fastrelief drugs,v4-742119,0000000000000,??,04/07/2026,syrup,400mg,1 tube,nigeria,Suspicious,1
hydrocortisone,may & baker nigeria plc,l42n3v,01900,unknown,UNKNOWN,injection,unknown,100ml bottle,ghana,Suspicious,1
folic acdi,medexpress ltd,m5jlsb,hghhplbevmlhn,33,05/05/2025,ointment,250mg/5ml,100ml bottle,india,Suspicious,1
vitamin cc,medline drugs ltd,m0-409002,178472146172758045,80,2023-08-28,ointment,unknown,1 pack,unknown,Suspicious,1
atenolol,medline drugs ltd,unknown,6192642597209,batch-828,???,powder,100mg,1 vial,unknown,Suspicious,1
emzor paracetamol,biofix pharmaceuticals,qz-qulq,0000000000000,jtsvo,2020-09-20,sahcet,100mg,30 tablets,ghana,Suspicious,1
emzor parcaetamol,healthmax pharma,i6-7985,6197761868704,batch-774,???,powder,500mg,1 tube,ghana,Suspicious,1
lonart ds extra,drugfield pharmaceuticals ltd,-3990,6196491371652,ohioitd,unknown,drops,100mg,100ml bottle,nigeria,Suspicious,1
amlodipine,emzor pharmaceutical industries,v4-3514,6197523083703,b26-1784,2029-12-10,drops,500mg,1 vial,nigeria,Genuine,0
spironolactone,curefast pharmaceuticals,f6-823041,4874781128269934517,74,2021-03-19,suspension,unknown,unknown,india,Suspicious,1
augmenti,supercure pharma,w2-143176,6194837444176,29,12/07/2026,suspension,500mg/5ml,200ml bottle,unknown,Suspicious,1
lisinopril,glaxosmithkline nigeria,r0-5166,0000000000000,3,unknown,powder,50mg,30g tube,india,Suspicious,1
power drug,topnotch drugs ltd,b4ei8tn5p8,1111111111111,hdssjj,unknown,ijnection,10mg,100 tablets,india,Suspicious,1
ciprofloxacin,chi pharmaceuticals ltd,g-42,0000000000000,batch-782,unknown,syrup,5mg,unknown,unknown,Suspicious,1
super paracetamol,dana pharmaceuticals ltd,a-19,kbzjptzvzvf97,unknown,UNKNOWN,injection,500mg,10 capsules,pakistan,Suspicious,1
lisinopril,healwell pharma ltd,d8-6790,6197564505813,bfdhu,16/10/2026,injetcion,unknown,30 tablets,pakistan,Suspicious,1
furosemide,curefast pharmaceuticals,tj5w,53071,23,02/01/2025,syrup,50mg,1 pack,unknown,Suspicious,1
promethazine,nigerian german chemicals plc,a0-4690,6195624395879,bt26-5910,2027-04-25,syrup,200mg,10 capsules,nigeria,Genuine,0
ciprofloxacn,dana pharmaceuticals ltd,j0-2713,0000000000000,unknown,unknown,sachet,125mg/5ml,10 tablets,unknown,Suspicious,1
diclofenac,pfizer nigeira,zumzue,6191123590425,??,2023-05-05,powder,500mg/5ml,20 capsules,ghana,Suspicious,1
super paracetamol,medexpress ltd,l0-1321,787387183,batch-879,unknown,ointment,125mg/5ml,1 vial,pakistan,Suspicious,1
ciprofloxacin,medline drugs ltd,q7-6441,4444444444444,94,2020-11-25,tablet,500mg,5 vials,india,Suspicious,1
chloroquine,swiss pharma nigeria ltd,a2-1818,6194179291117,l26-3713,2026-04-14,cream,500mg/5ml,1 tube,nigeria,Genuine,0
augmentin,bioraj pharmaceuticals ltd,p2-8929,6196015343325,lot26-2059,2027-06-16,drops,1g,5 vials,nigeria,Genuine,0
megavit plus,alphahealth industries,u2-3493,6193869742175,50,unknown,pwoder,125mg/5ml,1 pack,nigeria,Suspicious,1
ciprofloxacn,alphahealth industries,none,6191500111397,qyqjk,16/10/2025,capsuel,500mg,30 tablets,nigeria,Suspicious,1
tramadol,glaxosmithkline nigeria,h0-9938,6191079649673,bt26-8137,2028-06-21,drops,50mg,30 tablets,nigeria,Genuine,0
flagyl,topnotch drugs ltd,2nmcy,0000000000000,72,2020-07-23,ointment,unknown,unknown,pakistan,Suspicious,1
lonart,healwell pharma ltd,-6574,9999999999999,unknown,10/12/2026,ointment,unknown,unknown,unknown,Suspicious,1
tramadol,hovid nigeria ltd,z8-8391,6195921299641,bt25-0860,2027-04-14,syrup,500mg/5ml,10 tablets,nigeria,Genuine,0
tetracycline,mopson pharmaceutical ltd,k8-1026,6199961327302,bt25-7233,2026-06-13,syrup,20mg,30 tablets,nigeria,Genuine,0
amoxil,may & baker nigeria plc,r6-5073,6192181227643,lot25-4099,2029-01-03,cream,10mg,10 tablets,nigeria,Genuine,0
amatem,medexpress ltd,y6-425772,6199678963008,45,unknown,tablet,20mg,20 tablets,nigeria,Suspicious,1
vitamin cc,juhel nigeria ltd,os-mona,5555555555555,??,15/08/2025,ointment,unknown,10 capsules,pakistan,Suspicious,1
amoxicilin,quickcure labs,q5-2160,0000000000000,batch-580,27/10/2026,capsule,20mg,20 tablets,ghana,Suspicious,1
vitamin c,topnotch drugs ltd,alembf,6191891426933,---,UNKNOWN,tablet,???,unknown,unknown,Suspicious,1
super paracetamol,may & baker nigeria plc,y5-6274,unknown,batch-780,22/12/2026,ointment,500mg,30 tablets,ghana,Suspicious,1
augmenti,fidson heatlhcare plc,3q4pshem,6nuexaihzv2mu,batch-575,2022-11-18,ointment,???,60ml bottle,unknown,Suspicious,1
ceftriaxone,drugfield pharmaceuitcals ltd,l4-2924,93797900704559484,---,24/02/2026,ointment,125mg/5ml,unknown,ghana,Suspicious,1
diclofenac,drugfield pharmaceuticals ltd,09o08n,0926000,ime,14/02/2026,capsule,unknown,60ml bottle,pakistan,Suspicious,1
megavit plus,healwell pharma ltd,b2-154149,5555555555555,batch-495,???,ointmnet,1g,30 tablets,ghana,Suspicious,1
power drug,biofix pharmaceuticals,-8476,6991658723,unknown,25/02/2025,tabelt,unknown,unknown,unknown,Suspicious,1
tramadol,biofix pharmaceuticals,jw-imcl,9563431,ikwabsrr,25/04/2025,drops,???,100ml bottle,nigeria,Suspicious,1
doxycycline,goodhealth generics,a8-5437,3333333333333,---,07/07/2025,powder,50mg,60ml bottle,china,Suspicious,1
spironolactone,nigerian german chemical splc,hlw,kerztnbtpiawr,??,2021-11-26,powedr,250mg/5ml,1 pack,unknown,Suspicious,1
furosmeide,biofix pharmaceuticals,not registered,0000000000000,fbxnffmy,2021-09-28,cream,unknown,unknown,india,Suspicious,1
lonart ds extra,curefast pharmaceuticals,mm-norh,188374489239604244,batch-038,21/01/2025,capsule,10mg,5 vials,pakistan,Suspicious,1
furosemide,fidson healthcare plc,j5-6242,6199376618941,bt25-0654,2028-03-13,suspension,10mg,20 tablets,nigeria,Genuine,0
emzor paracetamol,juhel nigeria ltd,u1-8507,6197345475748,b25-9839,2026-03-05,powder,400mg,10 tablets,nigeria,Genuine,0
panadol,sanofi nigeria,w6-4649,6195305970258,lot24-2746,2027-08-14,suspension,20mg,10 capsules,nigeria,Genuine,0
chloroquine,skg pharma ldt,gb-fbzf,1dhbizetrx3bm,---,2022-05-04,injcetion,unknown,1 vial,unknown,Suspicious,1
doxycycline,fidson healthcare plc,y2-5954,6193985298945,bn25-2163,2029-11-01,drops,500mg/5ml,30g tube,nigeria,Genuine,0
chlorpheniramine,pfizer nigeria,l3-9102,6196601444856,l26-4216,2028-02-01,capsule,250mg/5ml,30g tube,nigeria,Genuine,0
furosemide,may & baker nigeria plc,z1-7358,6194876998425,l25-4003,2027-01-09,injection,250mg,100 tablets,nigeria,Genuine,0
amoxicillin,alphahealth industries,-7944,218600320319789990,pba,16/02/2025,capsule,200mg,1 pack,ghana,Suspicious,1
paracetamol,goodhealth generics,s1-3538,admvyhlaebtyq,unknown,08/10/2026,ointment,500mg/5ml,30g tube,unknown,Suspicious,1
hydrocortisone,pharmafast nigeria,d8-830134,0000000000000,rxgd,02/02/2026,drops,???,10 tablets,unknown,Suspicious,1
tetracycline,goodhealth generics,spj6sf,3333333333333,batch-753,UNKNOWN,capsule,unknown,20 capsules,china,Suspicious,1
metronidazole,evans medical plc,n3-4651,6197861371579,l26-6584,2026-06-26,suspension,5mg,10 capsules,nigeria,Genuine,0
panadol,juhel nigeria ltd,n2-4018,6192190533476,bn25-8274,2028-08-13,injection,5mg,10 capsules,nigeria,Genuine,0
erythromycin,drugfield pharmaceuticals ltd,w2-3257,6199712529672,bn26-8744,2027-10-16,drops,400mg,20 capsules,nigeria,Genuine,0
total cure tablets,glaxosmithkline nigeria,m86cxo,3gwsqdrdkymeb,zelgvizy,2021-07-28,cream,10mg,100 tablets,pakistan,Suspicious,1
omeprazole,pharmaplus international,omtf07,6193223072481,---,04/03/2026,capsule,250mg/5ml,1 tube,unknown,Suspicious,1
azithromycin,mopson pharmaceutical ltd,y4-3418,6197865619424,lot25-7744,2029-09-28,syrup,500mg,20 capsules,nigeria,Genuine,0
cotrimoxazole,nigerian german chemicals plc,z1-6617,0000000000000,iptfkeel,???,sachet,125mg/5ml,1 pack,india,Suspicious,1
panado,swiss pharma nigerai ltd,x-46833,603482367,71,???,suspension,20mg,10 capsules,china,Suspicious,1
gentamicin,chi pharmaceuticals ltd,r4-2780,6197722560531,bn24-4767,2026-03-13,ointment,250mg/5ml,20 capsules,nigeria,Genuine,0
gentamicin,sunrise medications,n4-5328,5555555555555,89,02/01/2026,sachet,200mg,unknown,india,Suspicious,1
glibenclamide,tuyil pharmaceutical industries,j8-1133,6191624565069,bn26-9304,2027-06-18,injection,250mg,60ml bottle,nigeria,Genuine,0
ibuprofen,evans medical plc,f3-7674,6192203347427,lot25-3506,2026-01-10,suspension,125mg/5ml,100ml bottle,nigeria,Genuine,0
chlorpheniramine,chi pharmaceuticals ltd,s8-9608,6194259959968,bn24-0583,2027-04-04,capsule,50mg,5 vials,nigeria,Genuine,0
folic acid,pharmaplus international,-6087,38825,23,2021-11-24,capsule,200mg,unknown,china,Suspicious,1
diclofenac,sanofi nigeria,i3-9373,6190403253760,lot25-6502,2027-08-16,powder,1g,10 capsules,nigeria,Genuine,0
prednisolone,hovid nigeria ltd,d2-8589,unknown,b26-3088,2026-11-07,injection,unknown,60ml bottle,nigeria,Genuine,0
megavit plus,biofix pharmaceuticals,w0-188301,279732829018320511,9,2022-01-14,suspension,500mg,30 tablets,pakistan,Suspicious,1
magic cure pill,medexpress ltd,d61-603,4716504,batch-734,12/11/2025,sachet,1g,1 tube,india,Suspicious,1
megavit plus,drugking industries,x16-715,0000000000000,batch-867,2022-01-25,cream,???,20 capsules,pakistan,Suspicious,1
ranitidine,tuyil pharmaceutical industries,x1-4510,6197529883222,bn26-1714,2027-06-13,tablet,5mg,100 tablets,nigeria,Genuine,0
metronidazol,drugfield pharmaceuticals ltd,b-22,0000000000000,unknown,unknown,sachet,250mg/5ml,20 tablets,pakistan,Suspicious,1
loperamide,bioraj pharmaceuticals ltd,v1-7102,6198268687645,bn24-9649,2026-09-11,injection,5mg,200ml bottle,nigeria,Genuine,0
loperamide,neimeth international pharmaceuticals,y8-1529,6195719838632,b26-4812,2026-07-13,ointment,500mg/5ml,5 vials,nigeria,Genuine,0
